AK;63.588753;-154.493062;0.0
AR;35.20105	;-91.831833;0.0
AZ;34.048928;-111.093731;0.0
CA;36.778261;-119.417932;0.0
CO;39.550051;-105.782067;0.0
CT;41.603221;-73.087749;0.0
DC;38.905985;-77.033418;0.0
DE;38.910832;-75.52767;0.0
FL;27.664827;-81.515754;0.0
GA;32.157435;-82.907123;0.0
HI;19.898682;-155.665857;0.0
IA;41.878003;-93.097702;0.0
ID;44.068202;-114.742041;0.0
IL;40.633125;-89.398528;0.0
IN;40.551217;-85.602364;0.0
KS;39.011902;-98.484246;0.0
KY;37.839333;-84.270018;0.0
LA;31.244823;-92.145024;0.0
MA;42.407211;-71.382437;0.0
MD;39.045755;-76.641271;0.0
ME;45.253783;-69.445469;0.0
MI;44.314844;-85.602364;0.0
MN;46.729553;-94.6859;0.0
MO;37.964253;-91.831833;0.0
MS;32.354668;-89.398528;0.0
MT;46.879682;-110.362566;0.0
NC;35.759573;-79.0193;0.0
ND;47.551493;-101.002012;0.0
NE;41.492537;-99.901813;Nebra
NH;43.193852;-71.572395;New
NJ;40.058324;-74.405661;New
NM;34.97273;-105.032363;New
NV;38.80261;-116.419389;Nevad
NY;43.299428;-74.217933;New
OH;40.417287;-82.907123;Ohio
OK;35.007752;-97.092877;Oklah
OR;43.804133;-120.554201;Oreg
PA;41.203322;-77.194525;Penns
PR;18.220833;-66.590149;Puert
RI;41.580095;-71.477429;Rhode
SC;33.836081;-81.163725;South
SD;43.969515;-99.901813;South
TN;35.517491;-86.580447;Tenne
TX;31.968599;-99.901813;Texas
UT;39.32098;-111.093731;Utah
VA;37.431573;-78.656894;Virgi
VT;44.558803;-72.577841;Vermo
WA;47.751074;-120.740139;Wash
WI;43.78444;-88.787868;Wiscon
WV;38.597626;-80.454903;West 
WY;43.075968;-107.290284;Wyom
